Alg,Win,Time,Score
1,0,0:00:14.313977,168
1,1,0:00:17.899998,176
1,0,0:00:05.955998,70
1,1,0:00:12.136998,176
1,0,0:00:08.252004,115
1,0,0:00:04.536990,77
1,0,0:00:17.643998,166
1,0,0:00:14.023001,127
1,0,0:00:15.277994,166
1,1,0:00:14.401003,176
1,0,0:00:06.869997,91
1,0,0:00:04.138996,68
1,0,0:00:13.323999,133
1,0,0:00:12.499997,140
1,1,0:00:14.415990,176
1,0,0:00:01.976759,25
1,0,0:00:11.127197,168
1,0,0:00:05.651264,76
1,1,0:00:12.239236,176
1,0,0:00:06.634628,102
1,0,0:00:11.172552,169
1,1,0:00:11.257599,176
1,0,0:00:06.818809,121
1,0,0:00:01.978973,27
1,0,0:00:09.923877,157
1,0,0:00:04.257805,87
1,1,0:00:13.840047,176
1,0,0:00:13.144339,158
1,1,0:00:10.860949,176
1,0,0:00:09.805385,153
1,1,0:00:12.424334,176
1,0,0:00:10.545596,122
1,0,0:00:11.043860,140
1,0,0:00:04.201487,69
1,0,0:00:02.306381,25
1,0,0:00:13.868693,170
1,0,0:00:05.595059,90
1,0,0:00:07.794527,128
1,0,0:00:09.152046,135
1,0,0:00:08.686251,133
1,0,0:00:07.376759,127
1,0,0:00:06.787885,103
1,0,0:00:09.795160,115
1,0,0:00:11.387357,148
1,0,0:00:10.537649,148
1,0,0:00:10.242636,148
1,1,0:00:10.869105,176
1,1,0:00:11.639355,176
1,1,0:00:13.479553,176
1,0,0:00:11.122106,158
0,0,0:00:32.284001,155
0,0,0:00:12.258999,103
0,1,0:00:14.326000,176
0,0,0:00:09.963000,149
0,0,0:00:08.109998,134
0,1,0:00:15.131994,176
0,0,0:00:29.977998,155
0,0,0:00:12.998996,141
0,0,0:00:06.275993,84
0,0,0:00:12.324000,160
0,1,0:00:15.951999,176
0,0,0:00:16.756996,174
0,0,0:00:39.614996,155
0,0,0:00:05.860003,84
0,1,0:00:13.530001,176
0,0,0:00:02.081988,25
0,0,0:00:02.217289,25
0,0,0:00:09.322286,165
0,0,0:00:04.646608,64
0,0,0:00:04.347663,74
0,0,0:00:19.107762,141
0,1,0:00:12.189900,176
0,0,0:00:20.234354,165
0,1,0:00:10.051529,176
0,0,0:00:21.620027,173
0,0,0:00:14.732683,155
0,0,0:00:17.120791,161
0,0,0:00:08.092188,142
0,1,0:00:10.633954,176
0,0,0:00:03.013753,50
0,1,0:00:11.740675,176
0,0,0:00:07.054647,100
0,0,0:00:04.402874,85
0,1,0:00:12.863009,176
0,0,0:00:11.756851,141
0,1,0:00:11.494882,176
0,1,0:00:10.816988,176
0,0,0:00:01.827201,23
0,0,0:00:35.185823,165
0,0,0:00:04.445895,84
0,0,0:00:13.508656,155
0,1,0:00:11.802900,176
0,0,0:00:04.036843,85
0,1,0:00:09.783182,176
0,0,0:00:08.896677,141
0,0,0:00:04.164973,80
0,1,0:00:10.198667,176
0,0,0:00:04.384917,66
0,1,0:00:11.068652,176
0,0,0:00:28.435847,149
